time ax ay az wx wy wz hm
481295916 -00.318778 -00.047371 -09.673511 +0.000953 -0.001224 +0.004013 +10.80
481295921 -00.318778 -00.047371 -09.673511 +0.003455 -0.003393 +0.009204 +04.74
481295926 -00.289686 -00.123159 -09.731298 +0.001250 +0.006092 +0.008426 +08.60
481295931 -00.028356 +00.068692 -09.793430 +0.002109 +0.012437 +0.004039 +06.73
481295936 +00.034723 +00.231132 -09.810010 +0.002093 +0.006653 +0.004029 +02.48
481295941 -00.081056 +00.098042 -09.898302 +0.000152 +0.004045 +0.005747 +02.48
481295946 -00.091258 +00.025523 -09.780200 -0.003685 +0.001471 +0.005102 +14.02
481295951 -00.091258 +00.025523 -09.780200 -0.002611 +0.006479 -0.005574 +02.66
481295956 -00.154497 -00.056415 -09.691241 +0.001772 +0.005051 +0.003711 +08.41
481295961 -00.265265 -00.027416 -09.768049 +0.002347 +0.003978 +0.010155 +04.12
481295966 -00.163366 +00.002332 -09.881099 +0.003816 +0.007395 +0.007965 +05.24
481295971 +00.010825 +00.193580 -09.891614 +0.003816 +0.007395 +0.007965 +05.24
481295976 -00.095452 +00.221859 -09.877915 +0.000054 +0.008314 +0.000410 +09.99
481295981 -00.095452 +00.221859 -09.877915 -0.002542 +0.005037 +0.003540 +19.96
481295986 -00.095845 +00.021281 -09.846957 -0.000493 +0.004193 +0.006374 +00.41
481295991 -00.159327 +00.076732 -09.642090 -0.000661 -0.006534 +0.004156 +08.32
481295996 -00.304106 -00.004149 -09.706206 -0.000674 -0.010554 +0.004307 +13.05
481296001 -00.188241 -00.113409 -09.730303 -0.001921 -0.000910 +0.003846 +13.05
481296006 +00.033982 +00.048825 -09.678839 -0.000148 +0.015912 +0.007023 +04.68
481296011 +00.033982 +00.048825 -09.678839 +0.000303 +0.016180 +0.010168 +06.89
481296016 -00.095458 +00.283668 -09.853375 -0.002314 +0.004233 +0.012969 +09.66
481296021 -00.148134 +00.251247 -09.987548 -0.002560 +0.005005 +0.005425 +13.63
481296026 -00.023041 +00.098277 -09.912081 -0.007775 +0.006210 -0.000405 +05.96
481296031 -00.115569 -00.041451 -09.762155 -0.000820 +0.004979 +0.007317 +05.96
481296036 -00.299236 -00.094410 -09.750088 +0.004752 -0.003195 +0.007323 +04.04
481296041 -00.299236 -00.094410 -09.750088 +0.003165 +0.002096 +0.007640 +07.38
481296046 -00.207050 -00.050528 -09.844008 +0.002193 +0.010063 +0.011264 +11.05
481296051 +00.024873 +00.168881 -09.782260 +0.001384 +0.005886 +0.011098 +04.55
481296056 -00.047378 +00.278539 -09.795876 +0.001384 +0.005886 +0.011098 +10.17
481296061 -00.038279 +00.058596 -09.726969 -0.001798 +0.007017 +0.009989 +10.17
481296066 -00.202687 -00.013476 -09.705437 -0.001731 +0.002663 +0.001653 +12.80
481296071 -00.202687 -00.013476 -09.705437 +0.003547 -0.001786 -0.000065 +03.51
481296076 -00.352368 +00.024366 -09.706288 +0.001445 +0.000080 +0.003074 +09.66
481296081 -00.173638 -00.122649 -09.763619 +0.002342 +0.001731 +0.009994 +00.88
481296086 +00.092528 +00.073981 -09.825653 +0.002558 +0.010146 +0.006551 +05.05
481296091 -00.013320 +00.250608 -09.872101 +0.000511 +0.010832 +0.003559 +05.05
481296096 -00.143833 +00.121719 -09.893804 -0.000017 +0.004189 +0.006690 +11.23
481296101 -00.143833 +00.121719 -09.893804 -0.007320 +0.002171 +0.001004 +10.96
481296106 -00.115332 +00.016126 -09.804329 -0.005031 -0.002685 -0.005754 +15.72
481296111 -00.212433 -00.051727 -09.696450 +0.005829 +0.000539 -0.003983 +06.44
481296116 -00.274687 -00.022168 -09.829973 +0.000736 +0.004748 +0.011722 +12.11
481296121 -00.148639 -00.006639 -09.947744 -0.001654 +0.006351 +0.011403 +12.11
481296126 -00.013181 +00.208106 -09.924983 +0.002223 +0.007239 +0.007331 +05.81
481296131 -00.013181 +00.208106 -09.924983 +0.001228 +0.008129 +0.011415 +14.03
481296136 -00.081130 +00.202505 -09.839925 +0.001228 +0.008129 +0.011415 +06.33
